"run","dist_charisma","mean_panic","overcrowding_threshold","doctor_count","std_charisma","dist_panic","patient_count","randomSeed","std_panic","blocked_threshold","patient_weight","mean_charisma","gas_weight","door_radius"
1,"Normal",0.5,20,10,0.05,"Normal",200,1245659565,0.1,30,0.2,0.5,0.3,5
3,"Normal",0.5,20,10,0.05,"Normal",180,1245768654,0.1,30,0.2,0.5,0.3,5
5,"Normal",0.5,20,10,0.05,"Normal",100,1245863900,0.1,30,0.2,0.5,0.3,5
7,"Normal",0.5,20,13,0.05,"Normal",195,1245945403,0.1,30,0.2,0.5,0.3,5
9,"Normal",0.5,20,13,0.05,"Normal",165,1246054792,0.1,30,0.2,0.5,0.3,5
11,"Normal",0.5,20,18,0.05,"Normal",200,1246139448,0.1,30,0.2,0.5,0.3,5
13,"Normal",0.5,20,18,0.05,"Normal",180,1246235010,0.1,30,0.2,0.5,0.3,5
15,"Normal",0.5,20,18,0.05,"Normal",100,1246327862,0.1,30,0.2,0.5,0.3,5
17,"Normal",0.5,20,33,0.05,"Normal",195,1246407782,0.1,30,0.2,0.5,0.3,5
19,"Normal",0.5,20,33,0.05,"Normal",165,1246493545,0.1,30,0.2,0.5,0.3,5
21,"Normal",0.5,20,100,0.05,"Normal",200,1246572157,0.1,30,0.2,0.5,0.3,5
23,"Normal",0.5,20,100,0.05,"Normal",180,1246687786,0.1,30,0.2,0.5,0.3,5
25,"Normal",0.5,20,100,0.05,"Normal",100,1246871439,0.1,30,0.2,0.5,0.3,5
2,"Normal",0.5,20,10,0.05,"Normal",195,1245659610,0.1,30,0.2,0.5,0.3,5
4,"Normal",0.5,20,10,0.05,"Normal",165,1245762611,0.1,30,0.2,0.5,0.3,5
6,"Normal",0.5,20,13,0.05,"Normal",200,1245847153,0.1,30,0.2,0.5,0.3,5
8,"Normal",0.5,20,13,0.05,"Normal",180,1245978716,0.1,30,0.2,0.5,0.3,5
10,"Normal",0.5,20,13,0.05,"Normal",100,1246098380,0.1,30,0.2,0.5,0.3,5
12,"Normal",0.5,20,18,0.05,"Normal",195,1246171327,0.1,30,0.2,0.5,0.3,5
14,"Normal",0.5,20,18,0.05,"Normal",165,1246274830,0.1,30,0.2,0.5,0.3,5
16,"Normal",0.5,20,33,0.05,"Normal",200,1246376617,0.1,30,0.2,0.5,0.3,5
18,"Normal",0.5,20,33,0.05,"Normal",180,1246470971,0.1,30,0.2,0.5,0.3,5
20,"Normal",0.5,20,33,0.05,"Normal",100,1246564396,0.1,30,0.2,0.5,0.3,5
22,"Normal",0.5,20,100,0.05,"Normal",195,1246628573,0.1,30,0.2,0.5,0.3,5
24,"Normal",0.5,20,100,0.05,"Normal",165,1246815172,0.1,30,0.2,0.5,0.3,5
