"run","dist_charisma","mean_panic","overcrowding_threshold","doctor_count","std_charisma","dist_panic","patient_count","randomSeed","std_panic","blocked_threshold","patient_weight","mean_charisma","gas_weight","door_radius"
1,"Normal",0.5,20,10,0.05,"Normal",200,339007,0.1,30,0.2,0.5,0.3,5
3,"Normal",0.5,20,10,0.05,"Normal",200,818876,0.1,30,0.2,0.5,0.3,5
5,"Normal",0.5,20,10,0.05,"Normal",200,492024,0.1,30,0.2,0.5,0.3,5
7,"Normal",0.5,20,10,0.05,"Normal",200,895666,0.1,30,0.2,0.5,0.3,5
9,"Normal",0.5,20,10,0.05,"Normal",200,796413,0.1,30,0.2,0.5,0.3,5
11,"Normal",0.5,20,10,0.05,"Normal",200,59047,0.1,30,0.2,0.5,0.3,5
13,"Normal",0.5,20,10,0.05,"Normal",200,713988,0.1,30,0.2,0.5,0.3,5
15,"Normal",0.5,20,10,0.05,"Normal",200,914133,0.1,30,0.2,0.5,0.3,5
17,"Normal",0.5,20,10,0.05,"Normal",200,297864,0.1,30,0.2,0.5,0.3,5
19,"Normal",0.5,20,10,0.05,"Normal",200,422833,0.1,30,0.2,0.5,0.3,5
21,"Normal",0.5,20,10,0.05,"Normal",200,26799,0.1,30,0.2,0.5,0.3,5
23,"Normal",0.5,20,10,0.05,"Normal",200,14222,0.1,30,0.2,0.5,0.3,5
25,"Normal",0.5,20,10,0.05,"Normal",200,197868,0.1,30,0.2,0.5,0.3,5
27,"Normal",0.5,20,10,0.05,"Normal",200,72056,0.1,30,0.2,0.5,0.3,5
29,"Normal",0.5,20,10,0.05,"Normal",200,155370,0.1,30,0.2,0.5,0.3,5
2,"Normal",0.5,20,10,0.05,"Normal",200,374264,0.1,30,0.2,0.5,0.3,5
4,"Normal",0.5,20,10,0.05,"Normal",200,592681,0.1,30,0.2,0.5,0.3,5
6,"Normal",0.5,20,10,0.05,"Normal",200,380163,0.1,30,0.2,0.5,0.3,5
8,"Normal",0.5,20,10,0.05,"Normal",200,54832,0.1,30,0.2,0.5,0.3,5
10,"Normal",0.5,20,10,0.05,"Normal",200,262524,0.1,30,0.2,0.5,0.3,5
12,"Normal",0.5,20,10,0.05,"Normal",200,778168,0.1,30,0.2,0.5,0.3,5
14,"Normal",0.5,20,10,0.05,"Normal",200,323553,0.1,30,0.2,0.5,0.3,5
16,"Normal",0.5,20,10,0.05,"Normal",200,391705,0.1,30,0.2,0.5,0.3,5
18,"Normal",0.5,20,10,0.05,"Normal",200,791640,0.1,30,0.2,0.5,0.3,5
20,"Normal",0.5,20,10,0.05,"Normal",200,51737,0.1,30,0.2,0.5,0.3,5
22,"Normal",0.5,20,10,0.05,"Normal",200,632458,0.1,30,0.2,0.5,0.3,5
24,"Normal",0.5,20,10,0.05,"Normal",200,200342,0.1,30,0.2,0.5,0.3,5
26,"Normal",0.5,20,10,0.05,"Normal",200,48082,0.1,30,0.2,0.5,0.3,5
28,"Normal",0.5,20,10,0.05,"Normal",200,431278,0.1,30,0.2,0.5,0.3,5
30,"Normal",0.5,20,10,0.05,"Normal",200,359922,0.1,30,0.2,0.5,0.3,5
