"run","tick","dead_doctor_count","dead_patient_count","doctor_count","patient_count"
1,1.0,0,0,10,200
1,1623.0,0,52,0,1
3,1.0,0,0,10,200
3,1641.0,0,45,1,0
5,1.0,0,0,10,200
5,1429.0,2,24,0,1
7,1.0,0,0,10,200
7,1731.0,2,11,1,0
9,1.0,0,0,10,200
9,1440.0,1,28,0,1
11,1.0,0,0,10,200
11,1253.0,2,36,0,1
13,1.0,0,0,10,200
13,1421.0,3,47,0,0
15,1.0,0,0,10,200
15,1577.0,0,50,0,1
17,1.0,0,0,10,200
17,1848.0,2,15,0,1
19,1.0,0,0,10,200
19,1541.0,2,23,0,1
21,1.0,0,0,10,200
21,1758.0,0,24,0,1
23,1.0,0,0,10,200
23,1550.0,2,28,0,1
25,1.0,0,0,10,200
25,1571.0,2,40,0,1
27,1.0,0,0,10,200
27,1401.0,2,51,0,1
29,1.0,0,0,10,200
29,2166.0,5,37,0,1
2,1.0,0,0,10,200
2,2116.0,2,39,0,1
4,1.0,0,0,10,200
4,1541.0,1,38,0,1
6,1.0,0,0,10,200
6,1645.0,1,13,0,1
8,1.0,0,0,10,200
8,2040.0,2,32,0,1
10,1.0,0,0,10,200
10,1651.0,7,25,0,0
12,1.0,0,0,10,200
12,1534.0,2,40,0,1
14,1.0,0,0,10,200
14,1290.0,0,21,0,1
16,1.0,0,0,10,200
16,1361.0,3,47,1,0
18,1.0,0,0,10,200
18,2180.0,1,7,0,1
20,1.0,0,0,10,200
20,2060.0,1,21,1,0
22,1.0,0,0,10,200
22,1270.0,2,39,0,1
24,1.0,0,0,10,200
24,1841.0,4,27,1,0
26,1.0,0,0,10,200
26,1486.0,3,29,0,1
28,1.0,0,0,10,200
28,1831.0,3,54,0,1
30,1.0,0,0,10,200
30,2101.0,3,38,1,0
