"run","tick","dead_doctor_count","dead_patient_count","doctor_count","patient_count"
1,1.0,0,0,10,200
1,2110.0,1,41,0,1
3,1.0,0,0,10,200
3,1540.0,2,37,0,1
5,1.0,0,0,10,200
5,1734.0,4,65,0,1
7,1.0,0,0,10,200
7,2241.0,2,29,1,0
9,1.0,0,0,10,200
9,1941.0,2,51,1,0
11,1.0,0,0,10,200
11,1800.0,5,51,0,1
13,1.0,0,0,10,200
13,1514.0,0,43,1,0
15,1.0,0,0,10,200
15,1751.0,1,55,0,1
17,1.0,0,0,10,200
17,2223.0,1,34,1,0
19,1.0,0,0,10,200
19,1707.0,3,64,0,1
21,1.0,0,0,10,200
21,2057.0,3,45,0,1
23,1.0,0,0,10,200
23,1521.0,0,45,0,1
25,1.0,0,0,10,200
25,1651.0,2,48,0,1
27,1.0,0,0,10,200
27,1844.0,1,55,0,1
29,1.0,0,0,10,200
29,1710.0,0,50,0,1
2,1.0,0,0,10,200
2,1360.0,1,51,0,1
4,1.0,0,0,10,200
4,1711.0,2,54,0,1
6,1.0,0,0,10,200
6,2096.0,3,42,1,0
8,1.0,0,0,10,200
8,1819.0,1,48,0,1
10,1.0,0,0,10,200
10,1712.0,1,63,0,1
12,1.0,0,0,10,200
12,1676.0,3,65,0,1
14,1.0,0,0,10,200
14,1689.0,3,52,0,1
16,1.0,0,0,10,200
16,1411.0,4,30,0,1
18,1.0,0,0,10,200
18,1501.0,3,65,0,1
20,1.0,0,0,10,200
20,1478.0,0,57,0,1
22,1.0,0,0,10,200
22,1429.0,2,35,0,1
24,1.0,0,0,10,200
24,1660.0,5,45,0,1
26,1.0,0,0,10,200
26,2141.0,0,59,0,1
28,1.0,0,0,10,200
28,2100.0,3,49,0,1
30,1.0,0,0,10,200
30,2131.0,4,24,0,1
