"run","tick","dead_doctor_count","dead_patient_count","doctor_count","patient_count"
1,1.0,0,0,10,200
1,1655.0,2,52,0,1
3,1.0,0,0,10,200
3,1651.0,1,35,0,1
5,1.0,0,0,10,200
5,1351.0,2,42,0,1
7,1.0,0,0,10,200
7,1521.0,3,50,0,1
9,1.0,0,0,10,200
9,1431.0,2,58,1,0
11,1.0,0,0,10,200
11,1947.0,3,52,0,1
13,1.0,0,0,10,200
13,1933.0,1,51,0,1
15,1.0,0,0,10,200
15,1731.0,3,41,0,1
17,1.0,0,0,10,200
17,1711.0,0,43,0,1
19,1.0,0,0,10,200
19,1738.0,2,47,0,1
21,1.0,0,0,10,200
21,1671.0,3,48,0,1
23,1.0,0,0,10,200
23,1364.0,2,54,0,1
25,1.0,0,0,10,200
25,2251.0,5,43,0,1
27,1.0,0,0,10,200
27,2054.0,6,39,0,1
29,1.0,0,0,10,200
29,1821.0,3,26,0,1
2,1.0,0,0,10,200
2,1681.0,0,39,0,1
4,1.0,0,0,10,200
4,1915.0,2,66,0,1
6,1.0,0,0,10,200
6,1488.0,0,73,0,1
8,1.0,0,0,10,200
8,1593.0,2,36,0,1
10,1.0,0,0,10,200
10,2006.0,2,42,0,1
12,1.0,0,0,10,200
12,1479.0,1,52,0,1
14,1.0,0,0,10,200
14,2091.0,0,29,1,0
16,1.0,0,0,10,200
16,2141.0,1,22,0,1
18,1.0,0,0,10,200
18,1880.0,0,28,0,1
20,1.0,0,0,10,200
20,1489.0,2,65,0,1
22,1.0,0,0,10,200
22,1875.0,1,58,0,1
24,1.0,0,0,10,200
24,2012.0,3,54,0,1
26,1.0,0,0,10,200
26,2185.0,3,44,0,1
28,1.0,0,0,10,200
28,1789.0,2,61,0,1
30,1.0,0,0,10,200
30,1901.0,1,62,0,1
